Feature,Description
feature_clutch_ratio_mean,Average value of clutch ratio
feature_clutch_ratio_std,Standard deviation of clutch ratio
feature_clutch_ratio_min,Minimum value of clutch ratio
feature_clutch_ratio_max,Maximum value of clutch ratio
feature_engine_load_mean,Average value of engine's load
feature_engine_load_std,Standard deviation of engine's load
feature_engine_load_min,Minimum value of engine's load
feature_engine_load_max,Maximum value of engine's load
feature_engine_throttle_mean,Average value of engine throttle
feature_engine_throttle_std,Standard deviation of engine throttle
feature_engine_throttle_min,Minimum value of engine throttle
feature_engine_throttle_max,Maximum value of engine throttle
feature_esc_active_mean,Average value of Electronic Stability Control (ESC) state
feature_esc_active_std,Standard deviation of Electronic Stability Control (ESC) state
feature_esc_active_max,Minimum value of Electronic Stability Control (ESC) state
feature_exhaust_flow_mean,Average value of exhaust flow
feature_exhaust_flow_std,Standard deviation of exhaust flow
feature_exhaust_flow_min,Minimum value of exhaust flow
feature_exhaust_flow_max,Maximum value of exhaust flow
feature_fuel_volume_mean,Average value of fuel volume
feature_fuel_volume_std,Standard deviation of fuel volume
feature_fuel_volume_min,Minimum value of fuel volume
feature_fuel_volume_max,Maximum value of fuel volume
feature_gear_index_mean,Average value of gear index
feature_gear_index_std,Standard deviation of gear index
feature_gear_index_min,Minimum value of gear index
feature_gear_index_max,Maximum value of gear index
feature_gear_m_mean,Average value of gear in manual
feature_gear_m_std,Standard deviation of gear in manual
feature_gear_m_min,Minimum value of gear in manual
feature_gear_m_max,Maximum value of gear in manual
feature_is_shifting_mean,Average value of shifting state
feature_is_shifting_std,Standard deviation of shifting state
feature_is_shifting_max,Minimum value of shifting state
feature_oil_temperature_mean,Average value of oil temperature
feature_oil_temperature_std,Standard deviation of oil temperature
feature_oil_temperature_min,Minimum value of oil temperature
feature_oil_temperature_max,Maximum value of oil temperature
feature_rpm_tacho_mean,Average value of tachometer's RPM value
feature_rpm_tacho_std,Standard deviation of tachometer's RPM value
feature_rpm_tacho_min,Minimum value of tachometer's RPM value
feature_rpm_tacho_max,Maximum value of tachometer's RPM value
feature_tcs_active_mean,Average value of Traction Control System (TCS) state
feature_tcs_active_std,Standard deviation of Traction Control System (TCS) state
feature_tcs_active_max,Minimum value of Traction Control System (TCS) state
feature_water_temperature_mean,Average value of water temperature
feature_water_temperature_std,Standard deviation of water temperature
feature_water_temperature_min,Minimum value of water temperature
feature_water_temperature_max,Maximum value of water temperature
feature_test_duration,Test duration
