steering_std,steering_min,steering_input_max,altitude_max,esc_std,full_road_diversity,max_angle,min_angle,road_distance,std_angle,outcome
-1.005487223,0.862364274,-0.90850526,-1.025772302,0.686282398,-0.087064857,-0.113436278,-1.508159177,0.808384514,0.998766615,0
-0.093394091,-0.212797056,0.426044209,1.423825038,-1.612319955,1.471817353,-0.46683525,0.000472627,0.969024376,0.179824151,0
-1.473434461,0.714413576,-0.683363874,-0.766168431,0.632391066,-0.735883897,-0.36558062,-1.567194207,1.284986631,0.754803827,0
-0.650861163,0.974290633,-1.09011194,-0.915290911,-0.172988318,0.263163617,0.484855206,-1.516761565,1.292613074,0.785244431,0
-0.144998838,0.389403542,-0.24115059,-0.608902177,-0.355812013,-0.151977811,-0.055532841,0.765252022,0.968376075,-0.719871367,0
-2.68667463,2.311529792,-2.781554457,-2.371081737,-1.612319955,0.110557126,2.46703116,0.586194224,1.1363896,0.898617272,0
-0.682719267,0.992049906,-1.119879803,-1.160718309,-1.612319955,0.436872676,0.256663566,-1.442155757,0.972799164,1.125691169,0
0.034136856,0.44174745,-0.307940626,-0.252213701,0.101011805,0.655813985,0.229194464,-1.441090667,1.130411684,1.045500872,0
-0.471073293,0.635798801,-0.570129982,-1.158100179,-1.612319955,0.306374508,-0.155971945,-1.497822947,0.646188465,1.063668918,0
-0.69251979,1.390957788,-1.832912911,-1.244120986,-1.317810442,0.961280793,0.853474129,-1.605523946,0.487726929,1.366102628,0
-0.250442996,0.463089724,-0.33563506,-0.090207699,0.599931046,0.736312019,-0.305721741,-1.226184935,0.303894755,1.141386197,0
-1.566477794,0.912171195,-0.953046223,-1.232090345,-0.496613598,1.006250021,0.646439721,-1.598036635,0.809298738,1.142820042,0
-1.068640749,0.787804951,-0.762435113,-1.136666112,0.544554945,-0.181505054,-0.253232948,-1.691555907,0.472824529,1.195139784,0
0.806395089,0.319118875,-0.153925165,-0.050136349,0.392289877,0.571010165,-0.31641563,-1.055514509,0.80779353,0.963764725,0
0.175524079,0.670861067,-0.620107255,-1.040001994,-0.557137231,0.254548215,0.248177733,-1.225352652,0.652024322,0.987919995,0
-1.17815702,1.02311459,-1.144383885,-1.050509435,-1.612319955,0.599592567,0.244757492,-1.418854319,0.47567252,1.114293815,0
1.038307822,-0.140327714,0.354524031,0.35305566,0.782979816,0.26457514,-0.059471055,-1.590826327,0.812757566,0.928404398,0
-0.465242703,0.912866381,-0.989188502,-0.790349217,-1.612319955,0.513767785,-0.007415892,-1.073164628,0.482178211,1.035660394,0
-0.402499429,0.434836141,-0.299030203,0.417053092,0.473678406,0.248350269,2.46703116,-1.595327747,0.805522676,1.445409298,0
-0.405141204,0.679438007,-0.632460426,-0.392199501,-1.002212421,-0.368115777,0.071160911,-1.612618049,0.646649206,0.931794445,0
0.413066848,-0.725727013,0.876684894,0.314558619,-1.612319955,0.579301563,2.46703116,0.483539184,1.300369619,0.766433975,0
-0.276332858,0.903868225,-0.974663744,-0.645566103,-1.612319955,0.635676125,0.141035959,-0.909519014,0.650513118,0.811167291,0
-1.328730108,1.131504696,-1.328487773,-1.2259644,-1.612319955,1.43877979,0.047491473,-0.772076323,0.313352774,0.886357068,0
-1.05689781,0.99987432,-1.126368188,-1.254015213,0.113799517,0.34054287,0.364862131,-1.466860553,0.311743657,1.08335702,0
0.21516639,-0.114228061,0.328234808,-0.488988257,-1.612319955,0.230992271,0.046161816,-1.426997049,0.812316087,0.988415876,0
0.143760662,-0.738772597,0.887004856,0.498766882,0.512824816,0.405819677,-0.791908009,0.44908314,0.303284449,-0.448448279,0
1.782539482,-2.15074988,1.750418618,-2.220383325,-1.612319955,1.094592527,-0.320318623,0.150427525,1.453202717,0.019736711,0
0.846482716,-0.677826176,0.838344754,0.497459039,0.858440592,-0.531046876,-0.277981987,0.653007164,0.476351061,-0.459885521,0
-0.141746177,0.308383523,-0.140843362,-0.228329199,-0.552684963,0.439911026,0.363866432,-1.685241756,0.806249875,1.06089023,0
-0.517846682,0.978545631,-1.097219694,-0.937257509,-1.612319955,0.82486199,0.388994278,-0.869056208,0.648498747,0.782681408,0
-1.326407922,1.02823147,-1.152410727,-1.319875444,-1.612319955,1.189797491,0.059422706,-0.754183448,0.310257849,0.955037905,0
-0.450260909,0.130969351,0.066572273,0.475065505,-0.283947344,1.463379431,-0.304787703,0.336173724,0.303297611,0.072119269,0
-0.549953739,0.776815704,-0.776344685,-1.148559302,-0.741905255,0.3360487,0.496195559,0.886528156,0.484856115,-0.503477044,0
-0.982527155,1.073493247,-1.240006721,-1.14751291,-0.815367689,-0.086478556,0.096986568,-1.524753699,0.310278432,1.092392127,0
-0.563233966,0.7369765,-0.716659458,-0.842726039,0.09927096,-0.443393208,-0.27587486,-1.283212567,0.307232064,0.949399278,0
-0.337577012,1.050639637,-1.220020831,-0.901085544,-0.456753427,-0.20367665,0.16916589,-1.437419358,0.316612091,0.992599648,0
1.184196472,1.3610647,-2.55405172,-2.278396668,-1.612319955,0.496523585,2.46703116,0.294033363,0.815833843,1.021903782,0
1.350666801,-0.853595251,0.975652737,0.952210394,-0.73571832,1.136499476,0.690423568,0.454407241,1.614417845,0.138555366,0
-0.809958827,0.992861563,-1.11804505,-1.325977893,-0.544779467,0.216788152,0.457136562,0.832063255,0.47852668,-0.439902826,0
-1.335465116,0.233793146,-0.051657967,0.932929201,0.472147009,0.081901996,-0.677965887,0.544665302,0.637937475,-0.68169596,0
-1.034485811,0.387905352,-0.239262245,1.591336102,-1.612319955,-1.04264524,-0.837835935,0.690417412,0.299627693,-0.978901255,0
-0.583489849,0.997112651,-1.121763569,-1.056539914,-1.612319955,-0.048361384,0.187584517,0.812317472,0.475307053,-0.444789183,0
0.01266397,0.227203937,-0.043920354,-0.777352356,-1.612319955,0.179116912,-0.144942272,-1.216970049,0.476924869,0.989036006,0
1.355515388,-0.279561553,0.490072635,0.62361492,0.874543279,1.045687198,0.720862118,0.331546651,1.14338195,0.157649482,0
-0.922376129,0.970426048,-1.083669611,-1.120472067,-1.612319955,0.074089437,-0.07376371,-1.327850301,0.641397923,1.045530027,0
-0.329217582,1.016917397,-1.145120554,-1.251897224,0.063745978,0.413550355,0.561804158,-1.547597859,0.649514383,0.995166052,0
1.493694832,-0.242589745,0.454832366,0.774722438,0.309235404,0.91510661,0.659445432,-1.355884167,0.313901558,1.105652053,0
-1.137145573,1.092915019,-1.294173818,-1.283079737,-0.214101519,0.487565191,0.295108869,-1.284938357,0.979780383,0.841488,0
-0.592973514,1.214111202,-1.46135267,-1.285317881,-1.612319955,1.410730042,0.813025967,-1.625466276,0.652120936,1.391599347,0
1.166678834,-2.15074988,1.750418618,-2.127682507,-1.612319955,0.462457414,0.146822686,-1.038203861,0.975982402,0.79312732,0
-0.777153019,0.174625847,0.017023947,0.989244774,0.909858048,0.406787181,-0.472514288,0.488909435,0.471622305,-0.341054138,0
0.311381023,0.011164672,0.197836035,-0.815037985,-1.612319955,0.550137139,0.151730403,-1.044186284,0.316589632,0.962606751,0
-1.013825935,0.97903144,-1.094854691,-1.107495947,-0.654739906,-0.008337342,-0.089461314,-1.54659628,0.475046441,1.148254604,0
-0.759698485,0.742663059,-0.725108397,-0.744578704,-0.275680424,0.432233016,0.132874019,-1.488327858,1.444987561,1.0049246,0
0.87912109,-0.771556762,0.912712796,0.938984832,-0.27264312,0.083089267,2.46703116,0.603445159,1.603855968,0.780186371,0
-0.632407236,1.038778303,-1.192590819,-1.363990785,-0.923889601,0.584899188,0.295172655,-1.368632347,0.818471366,1.001582718,0
-0.73551126,0.904057446,-0.969213752,-1.27847309,-0.673693773,0.656733828,0.334728872,-1.296984597,1.133459596,0.887531329,0
-0.532241321,0.666244639,-0.613479245,1.475445704,-1.612319955,0.682068406,2.46703116,0.674784126,0.96757703,0.998426801,0
-0.854839346,0.914675022,-0.9921159,-0.805100566,-1.612319955,-0.641253082,-0.291097057,-1.689329415,0.804698039,0.977222452,0
-0.314531369,0.752016122,-0.739055632,-0.564370045,-1.018686724,0.192291012,0.170004726,-1.481291367,0.810192201,1.067828146,0
-0.59911239,0.579312462,-0.49134126,-0.800420368,-1.612319955,-0.239522257,-0.113403502,-1.434557537,1.441485826,0.791132953,0
-0.40632193,0.889642208,-0.951832962,-1.213699165,0.650061124,0.415037095,0.315094779,-1.480164982,1.298758713,0.822414437,0
-0.324508677,0.969558279,-1.077895356,-1.241854043,0.803884098,0.732957761,-0.067642741,-1.484232152,1.603567007,0.952571991,0
-0.711947713,0.614666702,-0.540408032,-1.015470606,-1.612319955,0.112406993,0.293045706,0.862380365,0.473569626,-0.437721396,0
-0.808048341,1.020571655,-1.142133261,-1.017844834,-0.187161871,0.897111379,0.560112493,-1.56352115,1.451716403,1.018670437,0
0.9198473,-0.68033542,0.840370792,0.484727479,-1.093833362,-0.069341187,-0.118491799,0.648294367,1.451032091,-0.452943786,0
0.178564599,0.23538233,-0.053527497,-0.765537744,-0.453096285,0.410683661,0.377536183,-1.51603564,0.97449472,0.969243915,0
0.155530205,0.180609469,0.010158912,-0.499865702,-0.025811508,0.305940195,2.46703116,-1.720210726,1.44349169,1.367117387,0
-0.064027207,0.496585929,-0.379652888,-0.129074525,-0.17899742,-0.363665638,-0.266807763,0.681797452,0.643383981,-0.626989102,0
-0.176573654,0.940695772,-1.034527247,-0.792326726,-0.590123577,0.420994019,0.326765987,0.875582517,0.48121178,-0.38913011,0
-0.901176508,0.994742289,-1.122640108,-1.148451169,-1.612319955,0.719799957,0.145163878,-1.395060871,1.131456676,0.906295509,0
-0.290393136,-0.640068104,0.247102172,-1.412489516,-1.612319955,0.897500757,2.315727705,0.325557748,0.48460026,0.967229972,0
0.152422125,0.236689932,-0.055066754,-0.52056505,-0.529699833,1.105023395,0.132701278,-0.926073613,0.813538437,0.901229135,0
0.140771914,-0.104497114,0.318359673,0.128860238,0.106844978,-0.019415381,-0.119628536,0.584818186,0.473751118,-0.362711889,0
-0.994361412,0.478552785,-0.355870817,-0.840734118,-1.612319955,-0.8126194,-0.458342805,0.780783281,0.470128514,-0.858428703,0
-1.213059917,1.14072588,-1.34480591,-1.057478803,-1.612319955,2.299689238,2.46703116,-0.362497454,1.765519414,0.993029514,0
0.673448846,-0.013327144,0.223851534,-0.198587375,-0.736134272,0.005694127,0.080033778,-1.469641409,0.482292119,0.998800549,0
-1.185174242,0.968229395,-1.077945965,-1.086340125,0.783515724,1.180970435,0.43917794,-1.559242475,0.968396426,1.185356302,0
-0.195479097,0.624992788,-0.554894346,-0.50741912,-0.313872239,0.27985135,0.205986843,-1.256133283,0.643320053,0.957867598,0
0.176446808,1.032971658,-1.173737739,-1.115231809,0.466481508,0.37228739,-0.094865741,-1.50270135,0.476871419,1.061227091,0
-0.431217687,0.489244853,-0.369947586,-0.902482885,0.583779103,1.301552211,0.249432875,-0.860507977,1.76044878,0.634325018,0
-0.50121939,1.214747596,-1.417048016,-1.133199736,-1.612319955,1.178732577,0.99297825,-1.287678029,0.489330361,1.252582117,0
0.333827078,-0.612105014,0.836643974,0.466839081,0.577393597,0.062357914,-0.267674925,0.570486266,0.306762676,-0.322323744,0
-0.841856848,0.906960818,-0.915618758,-0.845937388,0.351473553,-0.114525627,-0.235973909,-1.312756396,0.476760808,1.041679679,0
-0.231746793,0.768324903,-0.763527122,-1.096306375,-0.356309185,0.064866064,-0.013810593,0.885652342,0.81481598,-0.814489465,0
-1.197910561,1.004139474,-1.119545881,-1.228371479,-1.612319955,0.085138805,0.04515643,0.8517886,0.31201481,-0.657347198,0
-0.536142286,0.639029175,-0.574699734,-1.118925124,-1.612319955,0.696172835,0.338904636,0.81222122,0.476508219,-0.440770903,0
-0.224943014,0.004590171,0.204846172,0.68362839,-1.612319955,-0.71939244,-0.681035905,0.51536367,0.30230542,-0.556122097,0
0.709276928,-0.161708405,0.375848301,0.084688767,-1.612319955,0.598058597,-0.199884673,-0.957347025,0.481621163,0.885139472,0
0.101975446,-0.702023778,0.918358525,0.422758067,1.695412374,-0.569288372,-0.467288628,0.660048954,0.474884349,-0.541572296,0
-0.010598164,0.079358936,0.1239496,-0.842684987,0.401162862,0.275370868,0.008812612,-1.226945943,0.645564497,0.87362407,0
-0.467091731,0.506362476,-0.392629291,-0.658910575,0.00458353,-0.840596939,-0.426988112,-1.552734786,0.471794514,0.983772677,0
0.734997897,-0.167776952,0.381866443,1.636869617,-0.067467397,0.875320647,0.07273063,0.279891369,0.811195293,0.104951651,0
-0.900878513,0.996719665,-1.125326374,-1.163141441,-1.612319955,0.331735903,0.537150852,-1.500610667,0.307883074,1.0845247,0
0.080639243,-0.017979105,0.228762394,0.739598717,0.154006943,1.275132028,-0.067396564,0.385411995,1.754083097,-0.163549224,0
