Row,z_1,z_2
mt/set_11/frenetic/test-262,-1.1402502731298,-3.6758199541195
mt/set_11/frenetic/test-385,0.795913836103567,-1.26833893944875
mt/set_11/frenetic/test-810,-1.4306205303653,-3.41765642473338
mt/set_11/frenetic/test-127,-0.948578803889208,-4.87260616949725
mt/set_11/frenetic/test-46,-1.07603281211356,-0.807702132985399
mt/set_11/frenetic/test-742,-4.79432435137889,-8.06092203151675
mt/set_11/frenetic/test-75,-1.46858403436741,-5.40287026296242
mt/set_11/frenetic/test-542,0.705176941642542,-3.58898193464821
mt/set_11/frenetic/test-911,-1.00631526184196,-4.26854034484599
mt/set_11/frenetic/test-190,-1.73529298221408,-6.21668907619715
mt/set_11/frenetic/test-692,0.291819230277409,-2.24676563418426
mt/set_11/frenetic/test-98,-1.26029855659016,-5.70059353772602
mt/set_11/frenetic/test-479,-1.14746643371751,-3.46654143931399
mt/set_11/frenetic/test-50,1.11888285023614,-1.98751117801298
mt/set_11/frenetic/test-236,-0.234284764778125,-3.60082702099494
mt/set_11/frenetic/test-2,-1.88057176458831,-5.10072666392094
mt/set_11/frenetic/test-42,2.24771890256009,-1.36639492422283
mt/set_11/frenetic/test-564,-1.3858663074637,-4.14164611203165
mt/set_11/frenetic/test-507,1.59390952640999,-4.29528946333129
mt/set_11/frenetic/test-295,-0.804446179019982,-3.37008057349974
mt/set_11/frenetic/test-7,2.61624972311715,-2.86211715431533
mt/set_11/frenetic/test-260,-1.19400570571579,-4.0788435359454
mt/set_11/frenetic/test-578,-2.300677052567,-5.05477833807318
mt/set_11/frenetic/test-792,-1.39492390016866,-4.23931062115773
mt/set_11/frenetic/test-261,0.783404968100423,-3.06719993694416
mt/set_11/frenetic/test-443,1.06986147711719,1.71686627064316
mt/set_11/frenetic/test-59,3.3009702663288,-1.25736095623881
mt/set_11/frenetic/test-940,1.47918873919699,2.23631269386315
mt/set_11/frenetic/test-390,0.583365686613095,-3.53621997064506
mt/set_11/frenetic/test-907,-1.42414635269553,-4.62174667547617
mt/set_11/frenetic/test-95,-2.18408644570231,-4.8756092362996
mt/set_11/frenetic/test-202,0.034472719354716,-0.861419493015629
mt/set_11/frenetic/test-361,-1.88918473435066,-1.97505427067209
mt/set_11/frenetic/test-161,-1.93269311711805,-4.24064989844705
mt/set_11/frenetic/test-634,-1.09839172045529,-2.53032978643235
mt/set_11/frenetic/test-228,-1.36811892179642,-3.58293906698928
mt/set_11/frenetic/test-690,-1.21569658176542,-6.17814527226467
mt/set_11/frenetic/test-504,3.09464340796107,-0.968462185932245
mt/set_11/frenetic/test-594,-2.44331203744459,-2.31069079316463
mt/set_11/frenetic/test-572,-1.20304465765087,0.505736835472679
mt/set_11/frenetic/test-120,-2.28407637485231,1.35207469538537
mt/set_11/frenetic/test-119,-2.72266608177085,-2.20027481347909
mt/set_11/frenetic/test-413,-0.113084898292909,-3.01396097596099
mt/set_11/frenetic/test-442,2.67549605524767,-0.573308372186493
mt/set_11/frenetic/test-270,-1.94755998902841,-4.58698665221793
mt/set_11/frenetic/test-134,-0.790193492447864,-4.50900591707823
mt/set_11/frenetic/test-950,3.06055864302583,-1.30700315036319
mt/set_11/frenetic/test-5,-1.69563214839422,-5.00143419613162
mt/set_11/frenetic/test-411,-1.22854678733277,-6.50657081974203
mt/set_11/frenetic/test-836,3.34592539780271,-2.02346717181003
mt/set_11/frenetic/test-232,-0.315602997336941,0.59368220096927
mt/set_11/frenetic/test-445,0.538266316051164,-2.81990969965294
mt/set_11/frenetic/test-731,-1.72692884577158,-4.21242258193414
mt/set_11/frenetic/test-9,-0.58661206887953,-4.75724206235937
mt/set_11/frenetic/test-371,3.42165947630482,-1.75674533707932
mt/set_11/frenetic/test-388,-1.40432528437508,-5.10972062526769
mt/set_11/frenetic/test-155,-1.09327239748178,-5.11884394739395
mt/set_11/frenetic/test-584,0.343420285794087,-3.61813436592349
mt/set_11/frenetic/test-398,-1.94593954900838,-4.13168393276771
mt/set_11/frenetic/test-303,-0.642436980851095,-4.06672745578478
mt/set_11/frenetic/test-889,-1.0064279721412,-4.38575214617984
mt/set_11/frenetic/test-213,-0.489122629747949,-4.52290198196531
mt/set_11/frenetic/test-328,-0.477521712706908,-4.89248043451481
mt/set_11/frenetic/test-588,-2.06790186469238,-1.9203435876664
mt/set_11/frenetic/test-859,-0.794624594303667,-5.7717836823763
mt/set_11/frenetic/test-10,1.38361469590465,0.132525280160977
mt/set_11/frenetic/test-280,0.761217125982698,-3.6134033851281
mt/set_11/frenetic/test-277,2.11998676400069,-5.25372640147501
mt/set_11/frenetic/test-561,-1.18084034720283,-0.0852345197181066
mt/set_11/frenetic/test-106,-1.78591890438739,-1.79481675552641
mt/set_11/frenetic/test-335,-1.63469444479231,-5.57480391495562
mt/set_11/frenetic/test-789,1.20699437196331,-3.8323601564907
mt/set_11/frenetic/test-868,0.713289122586124,-3.21556841464792
mt/set_11/frenetic/test-772,0.227673919821819,0.505014081505401
mt/set_11/frenetic/test-830,-2.72561126608818,-0.609845497175908
mt/set_11/frenetic/test-670,-0.694667249852836,-8.13966784341211
mt/set_11/frenetic/test-805,1.16393039426436,-2.07825496299408
mt/set_11/frenetic/test-240,-0.709956735301518,-5.2065071183154
mt/set_11/frenetic/test-469,-0.219691230695115,-3.27756888135726
mt/set_11/frenetic/test-932,-0.629180104894641,-3.54540325271285
mt/set_11/frenetic/test-24,0.356270760207272,-4.40632686225456
mt/set_11/frenetic/test-173,-1.25451373172426,-5.89408433958676
mt/set_11/frenetic/test-667,1.21815286908063,1.5899033617447
mt/set_11/frenetic/test-565,-1.26857647403714,-3.15784295278508
mt/set_11/frenetic/test-850,-1.87468887075778,-1.37169360846104
mt/set_11/frenetic/test-12,-3.32225468334592,-2.19155302916842
mt/set_11/frenetic/test-743,-1.8111845272527,-2.32902886613833
mt/set_11/frenetic/test-269,-1.05495235482682,0.880971385133931
mt/set_11/frenetic/test-712,1.12989738517338,-1.91595235145727
mt/set_11/frenetic/test-608,1.15065487628625,2.48608164180773
mt/set_11/frenetic/test-142,0.730070098432367,-2.38112576246997
mt/set_11/frenetic/test-760,-0.720035642431545,-2.21959339749806
mt/set_11/frenetic/test-522,1.70466632883955,0.10761543104998
mt/set_18/frenetic/test-555,-1.6867650159283,-4.91781145905169
mt/set_18/frenetic/test-262,1.03988481905445,-1.56050005285074
mt/set_18/frenetic/test-127,2.17826794831708,2.10294278048338
mt/set_18/frenetic/test-151,1.8391672390491,-3.43566968669362
mt/set_18/frenetic/test-78,-1.36511360416278,-3.99218760728438
mt/set_18/frenetic/test-571,-1.66228868047267,-4.14808871199995
mt/set_18/frenetic/test-176,0.115547227409231,-2.93028401419258
mt/set_18/frenetic/test-636,-0.754909075006978,0.451187805797374
mt/set_18/frenetic/test-479,0.643287742338508,-0.229605054375545
mt/set_18/frenetic/test-128,0.132921632536689,-2.84019407683791
mt/set_18/frenetic/test-219,4.41863787915516,-3.80959028093711
mt/set_18/frenetic/test-944,-0.570728665187275,-5.12258755048018
mt/set_18/frenetic/test-36,-3.36379759181571,-0.945713992559172
mt/set_18/frenetic/test-882,-1.98276174257239,0.27370637454733
mt/set_18/frenetic/test-136,0.522669222432714,-0.961080307587733
mt/set_18/frenetic/test-296,2.27023076404366,0.348460563798998
mt/set_18/frenetic/test-957,-4.48180584020559,-9.16287429875517
mt/set_18/frenetic/test-95,-1.25179149551355,-2.32842438397029
mt/set_18/frenetic/test-624,0.70009068870259,-2.19799035610216
mt/set_18/frenetic/test-441,-3.20060155694427,-3.92571396598908
mt/set_18/frenetic/test-228,2.59783194859857,-1.61461593765416
mt/set_18/frenetic/test-851,-1.8121083701446,-5.63481106452045
mt/set_18/frenetic/test-665,0.976676074091576,-3.98380324290845
mt/set_18/frenetic/test-535,-1.97261289836191,-6.05075400657673
mt/set_18/frenetic/test-736,0.147724061610703,-2.25307504153827
mt/set_18/frenetic/test-711,3.8641026091842,-0.695070616913439
mt/set_18/frenetic/test-729,0.648244658126578,-3.09961532175644
mt/set_18/frenetic/test-649,-1.97248086497045,0.172117222754666
mt/set_18/frenetic/test-847,-0.820821221342744,-2.58456314193644
mt/set_18/frenetic/test-129,-1.73521727316227,-3.95991862036919
mt/set_18/frenetic/test-150,-0.924755395164159,-2.7324558694128
mt/set_18/frenetic/test-762,-0.543900593875309,-4.21818014584696
mt/set_18/frenetic/test-400,-0.880013302362711,-5.39252025133811
mt/set_18/frenetic/test-69,-1.32397826844618,-5.84720913712193
mt/set_18/frenetic/test-485,1.41885330088245,-1.47118609401311
mt/set_18/frenetic/test-836,0.519698055814213,-2.17940565592895
mt/set_18/frenetic/test-532,4.47354653688692,-3.54484986681705
mt/set_18/frenetic/test-31,0.55836604448251,1.21668175021912
mt/set_18/frenetic/test-592,3.87244019382648,-3.09434364941179
mt/set_18/frenetic/test-180,-0.845415825202828,-2.87861917918805
mt/set_18/frenetic/test-943,-2.15881271661929,-4.66728725815184
mt/set_18/frenetic/test-623,-1.03425175079495,-3.69490944157057
mt/set_18/frenetic/test-381,-1.33828649049526,-4.60662362717821
mt/set_18/frenetic/test-651,-1.17272556233237,-6.22377924325286
mt/set_18/frenetic/test-590,2.82136812945772,-1.75441127693371
mt/set_18/frenetic/test-257,-0.47877015066516,-7.40360520573592
mt/set_18/frenetic/test-768,-1.88954551944005,-5.14298721139267
mt/set_18/frenetic/test-294,-0.246389805894269,-6.41626340767039
mt/set_18/frenetic/test-865,-1.91802305257087,-2.54004216788327
mt/set_18/frenetic/test-541,0.653264975146114,-1.933106894901
mt/set_18/frenetic/test-584,-1.45908287254964,-5.6382327066147
mt/set_18/frenetic/test-733,1.80789815625801,-4.46457015276042
mt/set_18/frenetic/test-29,-2.2110014385362,-5.78383883280976
mt/set_18/frenetic/test-162,-1.53597169481037,-4.78077802436893
mt/set_18/frenetic/test-831,-1.54146541745064,-3.00336517286155
mt/set_18/frenetic/test-559,-0.594875112672521,-8.21930076250031
mt/set_18/frenetic/test-177,-0.0609635317356611,-3.38426999890836
mt/set_18/frenetic/test-312,1.52468838364001,0.971467121882561
mt/set_18/frenetic/test-588,0.0441965016226213,-6.99645663140444
mt/set_18/frenetic/test-70,-4.99887380237462,-8.08595526672174
mt/set_18/frenetic/test-418,1.30255742721232,-3.53600536308124
mt/set_18/frenetic/test-459,-1.84897007045844,-4.59350237536795
mt/set_18/frenetic/test-412,-0.849312326805029,-1.03912037343384
mt/set_18/frenetic/test-93,-1.02079692804132,-5.04827533223053
mt/set_18/frenetic/test-501,-0.415272086387686,-4.1353041504647
mt/set_18/frenetic/test-947,2.49929986321885,-1.15781151744009
mt/set_18/frenetic/test-791,-1.98880264212186,-5.16230153609874
mt/set_18/frenetic/test-602,-1.65582896094566,-3.89013985047677
mt/set_18/frenetic/test-163,-1.69710226703939,-0.764223997222277
mt/set_18/frenetic/test-694,-0.390798127437503,-3.78347191851009
mt/set_18/frenetic/test-35,-1.28954532277045,0.426592300284993
mt/set_18/frenetic/test-469,-1.29026228933324,-5.60235923275964
mt/set_18/frenetic/test-433,-0.931171271379335,-4.68468826944426
mt/set_18/frenetic/test-932,-3.06079949810083,-3.33811188308369
mt/set_18/frenetic/test-820,0.258954301772485,-0.459433330823683
mt/set_18/frenetic/test-394,0.148235149425985,-5.72054193540737
mt/set_18/frenetic/test-878,-1.25006362312316,-3.50722539326096
mt/set_18/frenetic/test-699,-2.50224441983299,-0.637529488343783
mt/set_18/frenetic/test-503,-1.04860552397643,-5.28653695572336
mt/set_18/frenetic/test-76,0.80440992367245,1.6809482413107
mt/set_18/frenetic/test-961,-1.98184166202808,-3.76069260697839
mt/set_18/frenetic/test-653,-0.0678142088828644,-2.41919319633744
mt/set_18/frenetic/test-365,0.982733140619051,-3.37428563016964
mt/set_18/frenetic/test-405,1.12242570743016,-4.80499388716977
mt/set_18/frenetic/test-615,1.66149014813747,-0.726741434521754
mt/set_18/frenetic/test-419,-1.83991968196837,-3.72548774472848
mt/set_18/frenetic/test-547,2.1854294854727,-1.83830119900618
mt/set_18/frenetic/test-72,-2.05170958232787,-4.79545332398043
mt/set_18/frenetic/test-126,1.81985390815978,-5.98388372774122
mt/set_18/frenetic/test-534,-3.95957891110479,-2.78651561649592
