Row,steering_std,steering_min,steering_input_max,altitude_max,esc_std,full_road_diversity,max_angle,min_angle,road_distance,std_angle
mt/set_14/frenetic_v/test-637,104.9723488,-248.4443802,0.487145843,-27.75771429,0.257539377,111.5748368,42.10056674,-39.73731865,166.8800849,25.91406657
mt/set_14/frenetic_v/test-43,39.12942366,30.18736564,-0.055657648,-27.77650255,0.245916411,183.2213062,73.89631924,-331.4085504,156.7709576,114.9786668
mt/set_14/frenetic_v/test-418,125.6959699,-296.1227045,0.5985067,-27.76109017,0.261594444,147.6811273,324.3763574,-296.2535705,147.0155558,147.5845186
mt/set_14/frenetic_v/test-650,35.56677806,-113.1190645,0.221802087,-27.75502917,0.181462721,121.8713845,18.15111922,-32.47798465,148.0519723,17.39363733
mt/set_14/frenetic_v/test-498,93.98626142,-124.946526,0.244993188,-27.76509589,0.195959179,223.3713068,65.31464252,-39.53462005,147.6141107,31.38934578
mt/set_14/frenetic_v/test-346,69.67013808,-85.38423358,0.167420066,-27.77035064,0.158857096,73.35236955,40.48319883,-337.7403308,137.3802283,119.5934927
mt/set_14/frenetic_v/test-124,70.40532008,-109.8173957,0.215328227,-27.75980705,0.265884095,161.9762216,43.70936184,-323.029166,167.1985612,106.9477164
mt/set_14/frenetic_v/test-335,93.10270366,-183.7757884,0.360344683,-27.76176372,0.265884095,104.4987063,336.4416083,-19.85034064,157.2327313,96.18648996
mt/set_14/frenetic_v/test-26,41.33645722,-109.034196,0.213792541,-27.75650332,0.163021135,462.2106555,12.43236921,-56.79836927,157.6369568,27.75512467
mt/set_14/frenetic_v/test-654,132.9916035,-224.7753188,0.440735919,-27.75467412,0.123781897,433.6958474,52.4758445,-129.4715659,185.7931138,54.76879715
mt/set_14/frenetic_v/test-145,35.86332034,-61.93935374,0.121449713,-27.77364731,0,26.1486457,19.68924926,-16.43010989,147.9491589,10.19509984
mt/set_14/frenetic_v/test-175,63.19564188,-80.06848481,0.156997029,-27.75152704,0,168.2862543,355.3447725,-320.5167903,177.1211281,160.5026307
mt/set_14/frenetic_v/test-621,94.27753792,-153.2325959,0.30045607,-27.76499057,0.209664759,237.713312,22.70772099,-274.9626827,157.2995972,89.52684507
mt/set_14/frenetic_v/test-586,35.88011409,-7.049734179,0.014382562,-27.77715706,0.099009901,575.4000522,110.8533089,-320.6610279,137.174519,199.6238925
mt/set_14/frenetic_v/test-238,88.61454214,-152.4827806,0.298985844,-27.76871981,0,136.1736762,45.42239484,-319.2668444,156.8899639,115.3233887
