Row,steering_std,steering_min,steering_input_max,altitude_max,esc_std,full_road_diversity,max_angle,min_angle,road_distance,std_angle
Z_{1},0.6689,-0.6964,0.6547,0.2532,0.2869,0.3026,0.4027,-0.2026,0.2135,0.3849
Z_{2},0.3598,-0.5109,0.4018,0.5499,0.3909,-0.5676,-0.5813,0.5916,-1.0263,-0.6068
